,name,price,description
236,Flat in Rohini,"₹2,282 ",Spirit Solace
237,Bed and breakfast in Gurugram,"₹2,717 ",Tangerine 4 - Boutique Studio Sec42 w/Patio
238,Place to stay in Delhi,"₹1,659 ",Cozy full furnished Spacious Studio in Heart of KB
239,Flat in pokhara,"₹1,490 ",1 BR: Safe Place & self-checkin
240,Room in New Delhi,"₹3,640 ",Superior room in Safdarjung Enclave
241,Hotel in New Delhi,₹944 ,Hotel The Ocean
242,Room in Delhi,"₹2,054 ",Private Room near DU
243,Apartment in New Delhi,"₹3,460 ",Nanami Cha Penthouse Apartment in South Delhi
244,Room in New Delhi,"₹3,994 ",Diplomatic Enclave
245,Room in New Delhi,"₹2,443 ₹2,168 ",Spacious Private Room in Posh Locality- Near Metro
246,Apartment in New Delhi,"₹4,576 ",My Paradise in Central Delhi
247,Room in New Delhi,"₹4,451 ",sanjay puris room  one
248,Flat in New Delhi,"₹2,250 ","Modern Private Studio Apt. w/Wifi, Lift & KingBed"
249,Home in Faridabad,"₹2,301 ",Ivy House- Feels like Home
250,Guest house in New Delhi,"₹1,130 ",Vasant Kunj - A ROOM WITH A  VIEW ! and WHOLE ROOF
251,Room in New Delhi,"₹1,388 ",Pvt Room near Saket Malviya Nagar Max Hospital.
